Date,EURO,Platinum,Gold,Crude Oil,Silver,Ethereum,Yeng,^DJI,BITCOIN,new_cases,new_deaths
"[2018, 10, 7]",1.152259588,825,,,,229.2550049,,,6652.22998,0,0
"[2018, 10, 8]",1.149412036,814.0999756,1184.400024,74.29000092,14.25899982,227.9819946,0.0088535,26486.7793,6642.640137,0,0
"[2018, 10, 9]",1.150694966,825.5999756,1187.199951,74.95999908,14.32900047,225.7690125,0.00885,26430.57031,6585.529785,0,0
"[2018, 10, 10]",1.153336048,824.0999756,1189.300049,73.16999817,14.25500011,189.4990082,0.0088845,25598.74023,6256.240234,0,0
"[2018, 10, 11]",1.159044027,842.7999878,1223.5,70.97000122,14.53499985,196.727005,0.008934,25052.83008,6274.580078,0,0
"[2018, 10, 12]",,836.2000122,1218.099976,71.33999634,14.56400013,,0.0089295,25339.99023,6285.990234,0,0
"[2018, 10, 14]",1.155134559,844,,,,209.7039948,,,6596.540039,0,0
"[2018, 10, 15]",1.158345819,842.5,1226.400024,71.77999878,14.65600014,210.1200104,0.0089525,25250.55078,6596.109863,0,0
"[2018, 10, 16]",1.157527924,843.0999756,1227.300049,71.91999817,14.63000011,207.0830078,0.0089365,25798.41992,6544.430176,0,0
"[2018, 10, 17]",1.150086284,836.9000244,1223.699951,69.75,14.59200001,203.352005,0.008911,25706.67969,6476.709961,0,0
"[2018, 10, 18]",1.146000385,827.7999878,1226.5,68.65000153,14.53299999,203.727005,0.008933,25379.44922,6465.410156,0,0
"[2018, 10, 19]",,832.2999878,1225.300049,69.12000275,14.57900047,,0.0089005,25444.33984,6489.189941,0,0
"[2018, 10, 21]",1.150946617,834,,,,204.0439911,,,6487.160156,0,0
"[2018, 10, 22]",1.146789074,819,1221.199951,69.16999817,14.52200031,204.3359985,0.008882,25317.41016,6475.740234,0,0
"[2018, 10, 23]",1.147315264,832.4000244,1233.400024,66.43000031,14.72799969,203.852005,0.0089085,25191.42969,6495.839844,0,0
"[2018, 10, 24]",1.139925838,828.7000122,1227.800049,66.81999969,14.61100006,202.7189941,0.008911,24583.41992,6476.290039,0,0
"[2018, 10, 25]",1.137785912,828.7000122,1229.099976,67.33000183,14.56499958,203.3289948,0.0088955,24984.55078,6474.75,0,0
"[2018, 10, 26]",,829.5,1232.5,67.58999634,14.63500023,,0.0089555,24688.31055,6480.379883,0,0
